"Date","Price","Open","High","Low","Change %"
"Aug 14, 2020","0.9090","0.9104","0.9125","0.9086","-0.07%"
"Aug 13, 2020","0.9096","0.9121","0.9136","0.9082","-0.26%"
"Aug 12, 2020","0.9120","0.9168","0.9202","0.9097","-0.51%"
"Aug 11, 2020","0.9167","0.9157","0.9179","0.9105","0.12%"
"Aug 10, 2020","0.9156","0.9136","0.9186","0.9119","0.34%"
"Aug 07, 2020","0.9125","0.9098","0.9160","0.9091","0.30%"
"Aug 06, 2020","0.9097","0.9086","0.9130","0.9064","0.14%"
"Aug 05, 2020","0.9085","0.9133","0.9140","0.9050","-0.54%"
"Aug 04, 2020","0.9134","0.9177","0.9194","0.9129","-0.47%"
"Aug 03, 2020","0.9178","0.9113","0.9241","0.9111","0.53%"
"Jul 31, 2020","0.9129","0.9089","0.9150","0.9056","0.44%"
"Jul 30, 2020","0.9089","0.9126","0.9155","0.9087","-0.41%"
"Jul 29, 2020","0.9126","0.9180","0.9189","0.9117","-0.58%"
"Jul 28, 2020","0.9179","0.9199","0.9229","0.9154","-0.21%"
"Jul 27, 2020","0.9199","0.9217","0.9231","0.9166","-0.10%"
"Jul 24, 2020","0.9208","0.9255","0.9262","0.9203","-0.51%"
"Jul 23, 2020","0.9255","0.9298","0.9304","0.9245","-0.45%"
"Jul 22, 2020","0.9297","0.9333","0.9352","0.9286","-0.39%"
"Jul 21, 2020","0.9333","0.9389","0.9402","0.9320","-0.60%"
"Jul 20, 2020","0.9389","0.9401","0.9412","0.9373","0.03%"
"Jul 17, 2020","0.9387","0.9454","0.9463","0.9379","-0.72%"
"Jul 16, 2020","0.9455","0.9446","0.9469","0.9428","0.13%"
"Jul 15, 2020","0.9443","0.9396","0.9459","0.9370","0.49%"
"Jul 14, 2020","0.9397","0.9417","0.9426","0.9380","-0.19%"
"Jul 13, 2020","0.9415","0.9416","0.9438","0.9391","0.05%"
"Jul 10, 2020","0.9410","0.9401","0.9433","0.9384","0.06%"
"Jul 09, 2020","0.9404","0.9383","0.9411","0.9362","0.22%"
"Jul 08, 2020","0.9383","0.9425","0.9434","0.9370","-0.42%"
"Jul 07, 2020","0.9423","0.9422","0.9454","0.9408","0.02%"
"Jul 06, 2020","0.9421","0.9460","0.9464","0.9384","-0.40%"
"Jul 03, 2020","0.9459","0.9454","0.9471","0.9441","0.06%"
"Jul 02, 2020","0.9453","0.9458","0.9466","0.9426","-0.05%"
"Jul 01, 2020","0.9458","0.9473","0.9495","0.9444","-0.15%"
"Jun 30, 2020","0.9473","0.9513","0.9534","0.9462","-0.43%"
"Jun 29, 2020","0.9513","0.9481","0.9526","0.9441","0.34%"
"Jun 26, 2020","0.9481","0.9483","0.9500","0.9467","-0.03%"
"Jun 25, 2020","0.9484","0.9480","0.9509","0.9472","0.05%"
"Jun 24, 2020","0.9479","0.9449","0.9488","0.9432","0.34%"
"Jun 23, 2020","0.9446","0.9476","0.9496","0.9420","-0.33%"
"Jun 22, 2020","0.9477","0.9519","0.9531","0.9464","-0.48%"
"Jun 19, 2020","0.9524","0.9514","0.9531","0.9488","0.09%"
"Jun 18, 2020","0.9514","0.9487","0.9526","0.9481","0.30%"
"Jun 17, 2020","0.9487","0.9511","0.9530","0.9481","-0.28%"
"Jun 16, 2020","0.9513","0.9491","0.9524","0.9463","0.22%"
"Jun 15, 2020","0.9492","0.9525","0.9549","0.9480","-0.34%"
"Jun 12, 2020","0.9524","0.9443","0.9554","0.9434","0.87%"
"Jun 11, 2020","0.9442","0.9438","0.9463","0.9374","-0.07%"
"Jun 10, 2020","0.9449","0.9507","0.9516","0.9423","-0.62%"
"Jun 09, 2020","0.9508","0.9575","0.9588","0.9481","-0.72%"
"Jun 08, 2020","0.9577","0.9625","0.9640","0.9556","-0.51%"
"Jun 05, 2020","0.9626","0.9556","0.9651","0.9542","0.74%"
"Jun 04, 2020","0.9555","0.9616","0.9628","0.9543","-0.60%"
"Jun 03, 2020","0.9613","0.9623","0.9649","0.9607","-0.11%"
"Jun 02, 2020","0.9623","0.9607","0.9639","0.9572","0.15%"
"Jun 01, 2020","0.9609","0.9615","0.9627","0.9578","-0.05%"
"May 29, 2020","0.9614","0.9640","0.9653","0.9601","-0.31%"
"May 28, 2020","0.9643","0.9683","0.9719","0.9629","-0.43%"
"May 27, 2020","0.9685","0.9655","0.9729","0.9649","0.30%"
"May 26, 2020","0.9656","0.9721","0.9725","0.9646","-0.68%"
"May 25, 2020","0.9722","0.9717","0.9737","0.9703","0.11%"
"May 22, 2020","0.9711","0.9705","0.9733","0.9697","0.06%"
"May 21, 2020","0.9705","0.9650","0.9714","0.9644","0.56%"
"May 20, 2020","0.9651","0.9714","0.9719","0.9638","-0.65%"
"May 19, 2020","0.9714","0.9712","0.9731","0.9698","0.02%"
"May 18, 2020","0.9712","0.9720","0.9761","0.9676","-0.04%"
"May 15, 2020","0.9716","0.9731","0.9746","0.9697","-0.16%"
"May 14, 2020","0.9732","0.9721","0.9757","0.9712","0.11%"
"May 13, 2020","0.9722","0.9695","0.9728","0.9665","0.27%"
"May 12, 2020","0.9695","0.9732","0.9751","0.9665","-0.37%"
"May 11, 2020","0.9731","0.9711","0.9737","0.9700","0.24%"
"May 08, 2020","0.9708","0.9730","0.9741","0.9680","-0.23%"
"May 07, 2020","0.9730","0.9750","0.9785","0.9728","-0.21%"
"May 06, 2020","0.9750","0.9727","0.9760","0.9719","0.24%"
"May 05, 2020","0.9727","0.9650","0.9736","0.9645","0.79%"
"May 04, 2020","0.9651","0.9613","0.9664","0.9610","0.38%"
"May 01, 2020","0.9614","0.9657","0.9671","0.9588","-0.41%"
"Apr 30, 2020","0.9654","0.9738","0.9761","0.9639","-0.85%"
"Apr 29, 2020","0.9737","0.9753","0.9769","0.9712","-0.15%"
"Apr 28, 2020","0.9752","0.9754","0.9801","0.9720","-0.03%"
"Apr 27, 2020","0.9754","0.9739","0.9768","0.9711","0.24%"
"Apr 24, 2020","0.9732","0.9760","0.9804","0.9725","-0.29%"
"Apr 23, 2020","0.9760","0.9717","0.9774","0.9706","0.46%"
"Apr 22, 2020","0.9715","0.9697","0.9733","0.9668","0.19%"
"Apr 21, 2020","0.9697","0.9679","0.9728","0.9669","0.19%"
"Apr 20, 2020","0.9679","0.9672","0.9701","0.9654","0.06%"
"Apr 17, 2020","0.9673","0.9704","0.9725","0.9656","-0.33%"
"Apr 16, 2020","0.9705","0.9647","0.9717","0.9643","0.61%"
"Apr 15, 2020","0.9646","0.9603","0.9701","0.9595","0.46%"
"Apr 14, 2020","0.9602","0.9673","0.9684","0.9596","-0.74%"
"Apr 13, 2020","0.9674","0.9656","0.9688","0.9629","0.12%"
"Apr 10, 2020","0.9663","0.9663","0.9682","0.9639","0.03%"
"Apr 09, 2020","0.9660","0.9720","0.9735","0.9647","-0.61%"
"Apr 08, 2020","0.9719","0.9698","0.9744","0.9686","0.26%"
"Apr 07, 2020","0.9693","0.9787","0.9796","0.9684","-0.97%"
"Apr 06, 2020","0.9788","0.9771","0.9798","0.9760","0.09%"
"Apr 03, 2020","0.9779","0.9734","0.9797","0.9727","0.42%"
"Apr 02, 2020","0.9738","0.9656","0.9752","0.9649","0.85%"
"Apr 01, 2020","0.9656","0.9610","0.9693","0.9600","0.48%"
"Mar 31, 2020","0.9610","0.9584","0.9688","0.9579","0.26%"
"Mar 30, 2020","0.9585","0.9525","0.9612","0.9502","0.75%"
"Mar 27, 2020","0.9513","0.9636","0.9657","0.9505","-1.23%"
"Mar 26, 2020","0.9632","0.9768","0.9779","0.9602","-1.41%"
"Mar 25, 2020","0.9770","0.9816","0.9840","0.9754","-0.48%"
"Mar 24, 2020","0.9817","0.9847","0.9852","0.9717","-0.30%"
"Mar 23, 2020","0.9847","0.9858","0.9901","0.9790","-0.20%"
"Mar 20, 2020","0.9866","0.9860","0.9905","0.9744","0.06%"
"Mar 19, 2020","0.9861","0.9680","0.9883","0.9637","1.84%"
"Mar 18, 2020","0.9682","0.9596","0.9750","0.9567","0.74%"
